DBG_2025.05.07_PM_F0_kin.TXTFluorCam7 Kinetics Export File
-----------------------------------
[us]	[?C]	B3	B2	B1	A3	A2	A1	C3	C2	C1	D3	D2	D1	C4	C5	C6	D4	D5	D6	B4	B5	B6	A4	A5	A6	E1	G4	H2	H3	G5	F5	E5	E6	F6	G6	F1	G1	G2	F2	E2	E3	F3	G3	H1	E4	F4	H4	H5	H6
20000	25.00	131.154	100.409	119.171	73.673	111.776	101.940	95.299	79.509	72.826	92.543	73.058	81.991	83.375	67.688	74.781	124.649	80.860	86.018	70.544	66.433	69.725	90.713	61.964	91.205	48.681	100.708	56.281	56.779	59.347	102.615	74.438	71.807	69.429	78.743	50.673	74.759	101.402	53.569	64.000	56.769	51.742	90.130	90.179	74.504	111.231	74.411	85.324	72.835
60000	25.00	131.556	99.357	118.675	65.736	108.509	106.906	90.043	85.776	72.504	91.983	63.192	74.241	80.821	61.688	75.728	126.289	83.070	87.321	70.754	61.125	63.679	82.591	61.063	91.188	46.202	88.830	50.177	47.058	49.084	101.829	67.688	67.550	67.741	82.478	51.106	74.147	103.496	51.245	64.694	55.583	41.817	87.539	84.295	81.209	110.120	70.738	84.056	62.299
100000	25.00	133.436	104.148	122.427	66.818	109.267	103.735	90.932	84.397	72.774	94.474	66.875	80.786	83.402	65.259	74.298	119.675	82.140	83.054	73.430	63.615	64.092	83.461	58.162	93.786	50.777	94.425	48.906	49.779	51.400	100.778	70.000	72.349	65.125	80.735	47.596	77.888	102.402	51.676	61.144	54.806	40.086	82.252	86.366	78.600	108.248	68.439	77.491	62.412
140000	25.00	134.111	96.052	122.145	69.300	108.845	105.641	88.940	81.147	78.391	89.095	69.279	79.196	79.420	58.652	77.860	122.860	84.132	82.723	66.947	56.942	65.917	85.904	55.414	94.107	45.521	94.245	54.312	47.240	60.032	96.556	66.268	69.523	64.911	81.398	46.413	73.517	104.547	49.549	57.865	51.833	37.570	86.043	83.616	73.948	105.077	73.589	80.398	65.196
180000	25.00	124.521	102.800	121.641	69.482	111.431	106.795	88.650	83.569	76.565	92.500	63.000	83.277	74.286	62.527	76.982	125.596	84.754	84.598	70.474	59.115	64.394	90.974	57.775	92.741	46.298	99.321	52.104	49.769	58.726	101.872	71.107	75.183	65.759	81.947	43.192	74.784	104.051	49.304	61.649	56.037	43.258	84.617	86.688	74.539	109.085	69.869	81.907	66.330
30020000	25.33	86.094	92.096	100.265	64.818	66.345	64.026	99.726	96.431	87.765	103.569	81.981	98.205	80.098	72.054	69.877	95.623	90.895	90.893	75.895	68.067	72.697	64.957	49.982	65.839	54.255	67.698	59.771	54.067	56.158	112.282	84.321	88.477	71.866	75.389	56.538	92.414	99.615	59.373	72.459	67.907	48.333	103.826	72.759	84.209	130.470	72.729	66.722	66.763
30060000	25.33	82.598	87.348	99.453	66.200	69.578	64.846	101.684	85.940	84.078	99.095	77.433	97.268	80.054	69.804	73.219	92.360	93.219	94.045	85.842	74.240	72.642	64.661	51.027	66.625	51.468	66.330	58.344	55.135	51.484	113.171	84.036	89.587	73.536	75.982	53.913	94.569	95.145	50.363	70.649	63.037	49.505	107.261	69.304	86.757	128.333	72.888	66.565	63.485
30100000	25.33	89.650	89.304	93.299	68.982	61.052	63.932	103.128	96.862	86.574	101.517	81.269	99.009	72.089	67.938	77.535	95.842	94.175	89.732	75.947	73.788	71.927	66.443	47.847	74.357	53.277	64.962	55.031	56.221	55.095	113.009	79.848	82.128	76.339	78.735	58.260	86.560	97.145	58.343	68.874	68.519	47.731	109.278	68.884	88.374	125.470	72.150	73.407	73.680
30140000	25.33	79.821	87.209	89.855	63.509	65.448	68.248	98.812	94.198	81.617	99.388	80.212	98.473	82.188	72.509	77.035	92.579	91.772	93.223	81.754	74.721	74.982	62.783	58.333	67.893	55.255	69.142	61.844	51.087	60.779	116.085	85.500	84.009	78.152	78.920	50.192	94.724	98.026	55.314	67.505	62.102	50.527	103.913	65.045	88.052	124.829	75.290	71.139	70.351
30180000	25.33	88.829	89.130	97.556	68.273	66.190	62.282	100.632	92.422	81.496	100.474	79.385	96.491	81.054	71.750	73.737	94.561	90.430	97.875	86.404	67.538	75.257	66.591	51.243	67.259	56.883	64.453	53.219	51.260	59.653	106.735	83.268	77.881	82.982	78.195	49.750	95.241	98.624	51.902	70.829	72.398	53.624	99.217	73.027	90.870	130.051	74.449	68.898	70.351
60020000	25.67	81.333	84.000	90.487	67.000	65.905	58.684	104.786	88.862	80.296	101.784	79.808	97.089	80.991	72.500	70.079	91.667	94.912	93.312	79.061	70.683	68.697	55.643	50.234	60.152	52.000	65.387	54.604	54.298	53.379	114.846	83.125	77.927	74.955	72.416	51.471	90.509	101.316	55.745	70.667	69.519	51.914	110.000	67.116	85.304	123.581	71.421	70.528	69.309
60060000	25.67	81.051	79.191	89.256	59.573	67.664	56.709	101.017	90.500	85.209	104.284	79.038	95.205	77.125	67.304	70.982	93.368	98.342	87.250	77.693	66.260	72.128	62.148	48.505	54.018	55.883	64.877	60.281	55.000	59.474	109.103	80.295	80.266	72.348	72.460	54.038	88.009	92.718	51.863	72.306	64.269	49.054	103.296	67.152	86.791	122.410	69.785	65.037	66.546
60100000	25.67	76.803	77.774	89.889	58.327	59.905	54.940	101.880	95.069	79.252	102.474	74.663	95.562	80.696	69.375	73.219	95.386	93.772	86.330	78.789	68.538	71.734	51.826	47.676	59.027	53.160	68.142	56.271	51.048	53.105	110.872	76.518	79.550	76.214	79.327	49.115	87.466	95.940	54.441	70.550	65.759	48.753	105.974	66.321	86.348	125.940	74.972	70.296	66.876
