FluorCam7 Kinetics Export File
-----------------------------------
[us]	[°C]	B1	A3	C3	C2	C1	D3	D2	D1	C4	C5	C6	D4	D5	D6	B5	B6	A4	A5	A6	E1	F5	E5	E6	F1	F2	E2	E3	F3	E4	F4	B2	A1	A2	B3	B4
20000	25.00	63.321	67.283	118.231	129.393	122.838	127.333	88.786	77.880	84.427	78.836	82.915	108.949	97.068	94.692	106.137	84.470	63.071	52.345	54.485	128.846	99.121	96.094	82.385	96.436	117.188	107.171	95.462	142.598	102.983	127.590	79.527	60.456	53.921	79.806	80.559
60000	25.00	58.286	61.274	119.222	126.000	114.342	120.650	86.709	81.385	87.615	74.078	85.838	115.615	97.581	94.214	110.684	81.087	52.841	51.209	41.838	128.171	98.405	91.308	82.983	90.291	116.453	101.957	96.026	135.162	107.427	119.906	74.927	60.000	52.934	76.313	76.029
100000	25.00	59.250	61.195	118.000	131.239	115.513	123.419	92.769	80.778	91.436	71.810	80.026	109.171	98.393	95.111	110.359	79.157	50.982	43.045	43.253	131.923	99.560	93.487	81.547	88.624	117.368	109.205	98.778	138.436	103.504	122.419	76.436	54.746	57.013	73.239	72.294
140000	25.00	60.080	65.735	114.427	130.222	117.205	125.709	86.427	81.350	83.188	75.784	80.043	109.222	99.060	91.009	109.145	84.017	53.832	48.364	44.535	126.291	98.474	93.846	80.034	95.829	116.410	107.786	103.709	143.316	99.744	118.188	81.982	58.789	47.895	81.463	77.686
180000	25.00	56.304	68.664	118.692	130.154	116.538	127.274	88.838	84.205	87.291	72.957	82.778	102.188	99.744	94.325	108.923	82.852	52.327	47.600	43.889	125.709	103.069	93.068	82.761	92.761	115.880	111.692	95.521	142.009	101.769	124.137	80.955	54.167	50.303	73.985	78.363
30020000	25.36	66.688	72.788	141.462	136.017	113.350	127.051	104.752	94.983	100.632	89.181	95.265	117.444	115.581	103.479	103.342	89.661	67.717	57.045	51.515	117.017	121.733	115.863	97.316	111.402	132.632	125.897	117.675	156.846	123.940	144.974	91.155	68.518	51.461	82.090	89.206
30060000	25.36	67.652	71.142	136.538	129.393	110.162	119.479	107.821	97.521	98.718	87.414	97.940	119.316	115.932	102.803	104.154	92.270	65.088	62.027	46.596	119.077	121.914	111.752	99.692	104.410	137.034	127.513	115.034	154.821	122.974	141.188	90.309	67.702	64.526	78.642	94.304
30100000	25.36	71.089	67.947	135.581	130.709	108.111	122.231	102.769	93.889	104.607	90.828	97.085	119.983	116.231	101.393	104.504	91.365	65.301	60.418	52.576	109.547	120.026	112.248	99.504	102.573	136.803	123.094	117.111	150.838	117.419	138.590	86.327	64.482	60.461	81.284	89.549
30140000	25.36	63.009	66.257	138.513	134.273	107.590	127.282	96.812	96.846	105.983	87.216	95.658	121.786	109.607	104.231	95.590	94.148	63.761	63.636	52.293	115.581	119.319	109.171	94.068	101.462	133.556	122.479	112.701	150.786	118.145	140.632	86.973	66.053	59.579	83.896	87.049
30180000	25.36	70.009	67.991	133.026	133.829	114.009	117.179	101.615	98.641	97.624	86.336	94.761	119.453	117.726	99.171	102.786	89.670	63.301	59.882	57.677	110.368	115.405	109.744	93.632	106.915	135.291	127.444	115.906	153.205	119.855	135.573	84.964	67.518	55.987	76.149	88.333
60020000	25.70	61.812	69.000	141.017	125.692	109.154	118.256	98.915	95.436	102.350	86.552	99.274	113.547	100.744	92.949	97.077	93.226	64.177	62.536	53.364	115.231	115.810	108.077	98.966	107.821	134.291	120.342	112.709	154.795	120.359	143.444	87.200	65.307	62.632	80.493	83.265
60060000	25.70	63.161	68.336	132.393	126.897	109.479	112.308	96.333	96.274	106.453	89.224	91.846	111.590	105.504	91.624	98.222	89.026	65.858	64.800	56.202	112.829	118.388	107.778	100.017	105.274	132.846	124.872	109.598	149.940	124.043	140.214	83.773	68.035	59.250	79.403	87.549
60100000	25.70	71.339	66.504	133.880	127.650	111.812	112.863	103.299	101.462	98.171	86.284	97.487	112.855	111.427	99.462	97.932	86.670	62.248	57.700	54.333	117.188	114.026	103.248	98.949	105.855	138.727	123.145	112.658	152.880	122.068	140.462	87.373	65.904	64.250	79.881	86.794
60140000	25.70	68.036	64.124	134.897	130.265	102.556	109.530	98.718	91.650	100.188	91.336	95.103	112.068	104.342	94.872	98.872	88.583	69.204	59.127	54.333	111.094	119.698	103.427	98.231	101.385	134.333	120.701	112.675	159.650	120.145	137.692	88.427	59.561	53.039	77.134	88.157
60180000	25.70	66.670	67.673	132.350	125.060	113.333	113.444	96.308	95.410	95.479	85.931	98.171	112.077	105.795	95.778	98.060	90.904	63.743	58.245	55.889	109.658	116.655	105.009	94.068	104.350	131.906	123.650	105.966	152.692	118.889	136.410	85.200	67.605	61.487	75.552	88.471
90020000	26.03	67.241	64.080	133.111	123.701	107.111	102.650	100.060	92.598	95.154	86.078	98.444	114.521	107.111	94.897	96.803	91.174	63.088	60.118	51.576	113.855	113.733	103.026	97.376	107.487	133.342	120.607	104.974	151.402	116.410	145.282	89.791	69.158	53.013	75.582	84.725
90060000	26.03	73.795	69.097	132.932	126.863	109.068	102.197	95.222	100.128	93.812	88.060	97.658	113.051	104.077	92.632	97.034	84.939	66.832	55.964	49.323	109.906	108.043	100.034	92.530	111.641	129.120	126.009	109.419	148.273	117.624	145.068	88.555	67.588	58.539	80.284	81.892
90100000	26.03	67.732	62.088	130.410	121.889	110.094	102.829	99.983	92.282	98.043	81.241	95.462	111.547	106.316	92.692	98.658	83.365	57.230	54.609	50.687	110.239	112.172	99.222	93.718	102.650	134.872	120.034	110.701	144.513	120.607	140.316	84.864	60.684	54.658	75.910	82.196
90140000	26.03	64.393	63.602	133.094	122.487	108.530	100.838	99.889	89.692	96.214	89.767	96.188	111.427	100.444	92.915	91.598	87.983	60.407	56.245	53.768	114.829	113.052	104.316	99.402	107.427	132.863	121.863	106.171	150.026	119.402	143.872	87.955	64.877	54.566	72.627	88.451
90180000	26.03	65.241	63.991	130.889	128.983	103.333	102.256	96.393	95.863	89.897	83.983	97.769	109.239	106.410	93.470	93.513	94.043	61.681	60.464	53.485	114.265	113.931	97.863	95.009	109.667	130.239	122.103	99.043	146.718	119.615	134.838	88.764	64.360	55.092	75.821	79.314
120020000	26.35	66.643	62.124	129.838	123.624	102.085	98.521	93.504	97.350	93.513	88.345	93.573	112.197	109.949	91.564	96.299	87.191	59.407	60.773	50.505	112.034	115.466	100.120	94.863	106.838	128.291	120.051	102.308	138.974	113.393	142.000	86.618	63.632	56.158	67.687	83.441
120060000	26.35	65.393	65.841	126.214	119.162	108.171	101.812	96.940	93.359	87.778	82.698	87.043	107.137	102.709	90.778	95.701	89.774	65.681	63.845	51.586	118.145	110.586	92.855	97.718	106.701	127.684	124.325	102.256	138.094	124.479	138.017	88.436	61.746	53.171	72.612	78.637
120100000	26.35	67.330	59.832	126.735	120.949	108.923	99.855	97.650	93.991	89.479	84.095	91.709	107.735	98.453	89.051	94.051	87.209	57.230	58.209	47.798	107.462	106.698	102.496	93.085	104.214	128.256	118.496	101.410	142.487	118.709	138.564	89.736	60.518	57.618	65.239	79.029
120140000	26.35	61.241	65.593	127.162	120.786	107.889	96.812	96.675	90.009	90.538	91.112	91.214	108.632	97.419	92.504	92.487	86.809	61.699	58.382	52.576	114.615	112.121	101.547	95.744	108.299	125.966	122.641	101.094	138.846	112.547	134.863	83.882	64.711	59.224	67.015	83.157
120180000	26.35	60.982	63.991	119.436	120.795	106.487	97.632	91.889	97.735	95.675	88.000	92.231	112.803	103.111	90.316	93.821	87.426	70.195	59.491	52.838	111.231	106.560	96.444	96.496	101.915	127.342	115.983	99.897	134.103	116.667	133.684	83.045	65.307	52.987	73.910	79.216
150020000	26.67	64.134	67.947	120.701	115.735	103.504	95.402	94.128	91.436	91.855	83.017	94.265	105.496	97.162	86.863	91.419	87.722	66.743	53.009	50.596	112.051	108.784	93.735	91.795	102.880	128.949	115.120	99.880	137.316	112.974	134.897	86.473	62.316	50.855	70.478	78.549
150060000	26.68	62.759	59.097	119.590	116.966	106.487	93.675	93.214	88.761	92.479	78.491	88.017	107.838	96.590	87.077	88.949	84.991	61.584	56.227	49.606	104.761	106.069	95.915	89.590	105.530	123.316	121.393	100.821	138.444	119.171	130.291	84.791	58.930	58.145	67.716	73.549
150100000	26.68	59.929	65.566	117.453	117.607	104.256	97.581	90.718	87.342	90.316	82.638	93.462	104.573	99.453	90.291	89.778	85.791	60.841	53.382	50.263	105.692	107.776	96.111	96.009	102.162	124.017	119.103	99.504	136.342	114.615	138.983	85.518	59.509	56.776	81.925	76.108
150140000	26.68	67.688	67.018	119.504	112.316	105.983	93.744	94.291	88.274	88.915	80.819	92.573	108.744	94.889	83.855	91.162	83.600	61.310	56.545	53.707	106.214	102.052	90.863	89.504	106.410	125.504	112.684	97.376	134.282	117.915	135.769	85.200	60.412	56.763	68.343	72.990
150180000	26.68	64.509	64.212	123.906	121.761	100.291	93.564	91.846	90.137	85.111	87.853	92.863	102.085	97.171	85.624	88.658	88.409	65.319	57.455	55.879	108.171	106.776	95.829	89.650	99.368	131.017	119.231	95.735	136.145	116.479	131.017	90.673	60.351	59.039	77.627	72.686
180020000	27.01	64.080	65.504	116.462	116.043	103.009	100.137	91.479	88.658	88.265	83.707	88.256	105.120	98.769	87.256	88.863	81.530	63.009	56.509	49.010	109.812	106.224	95.205	92.949	104.974	124.154	109.846	97.949	132.077	113.333	138.214	84.391	50.851	54.000	58.119	72.216
180060000	27.01	61.438	64.814	119.103	114.350	101.162	98.359	89.274	90.128	83.752	78.431	96.231	104.393	96.829	84.034	95.222	82.470	60.938	52.036	48.000	112.111	107.733	90.462	87.162	104.085	124.564	111.906	96.744	136.239	117.812	129.291	86.200	61.000	51.671	67.104	77.353
180100000	27.01	57.250	65.681	118.171	114.932	103.145	90.590	90.786	89.829	85.128	79.931	90.897	99.915	99.889	90.060	87.675	79.957	56.823	55.336	46.980	106.906	104.000	91.393	91.043	97.846	129.291	116.308	93.231	134.376	111.222	131.094	85.391	58.798	58.684	69.716	71.794
180140000	27.01	62.125	62.407	117.068	117.128	100.615	95.427	90.256	88.128	86.513	77.060	90.171	100.034	92.547	90.179	88.308	84.365	59.035	55.055	52.283	109.342	106.422	93.650	94.171	103.897	128.034	114.265	94.402	134.821	109.667	133.786	84.727	56.491	52.395	65.060	73.147
180180000	27.01	63.795	61.292	119.692	117.761	98.162	91.974	93.077	85.487	85.368	84.388	87.000	101.880	96.598	84.650	87.906	83.435	63.372	51.400	53.121	107.179	103.948	93.521	85.846	104.658	126.402	113.094	96.000	132.769	107.761	130.197	85.864	60.632	48.816	68.507	70.931
210020000	27.34	57.821	66.265	115.812	109.179	94.641	94.974	88.145	88.915	84.949	82.009	86.983	101.496	92.906	86.350	88.137	79.687	62.522	55.364	52.131	106.667	107.647	92.547	88.188	101.034	128.590	107.248	95.060	132.675	111.786	133.427	75.509	55.026	53.855	64.015	69.784
210060000	27.34	55.446	63.664	119.726	111.197	101.821	92.949	87.923	84.897	82.923	74.819	86.265	99.444	92.444	82.419	81.940	86.704	59.027	56.318	51.485	99.957	97.647	94.197	90.205	100.316	126.009	117.658	98.077	133.368	114.564	128.265	77.855	55.632	48.382	62.030	71.098
210100000	27.34	60.232	60.540	110.043	107.316	95.402	94.624	90.060	85.983	82.838	81.586	91.897	104.530	91.145	85.607	83.410	84.591	60.637	52.873	51.364	103.573	101.457	88.342	87.709	98.974	117.966	114.137	95.607	131.983	112.675	133.658	78.873	57.570	46.066	62.299	70.284
210140000	27.34	56.821	61.566	114.991	108.410	96.034	96.060	87.692	85.521	79.077	75.905	87.427	102.598	90.556	88.949	84.359	79.574	58.168	53.191	50.394	106.769	105.629	89.726	87.615	106.453	118.385	112.043	90.778	128.273	109.752	128.325	74.309	61.816	52.342	58.955	69.020
210180000	27.34	56.464	60.248	114.034	112.684	103.410	92.171	89.538	90.564	82.068	79.284	88.667	96.265	95.239	89.350	86.889	81.304	59.292	52.655	48.141	104.222	102.603	91.137	93.282	100.641	120.530	114.923	89.188	131.410	111.915	130.350	81.318	58.465	46.855	56.045	71.137
240020000	27.67	52.875	62.637	115.667	111.889	103.932	91.872	91.983	87.222	82.821	78.888	87.419	101.000	96.470	88.581	83.274	84.852	64.487	53.882	47.061	110.077	109.603	94.752	84.325	97.231	121.889	111.786	87.675	137.803	109.017	125.983	80.718	55.333	51.211	60.910	69.176
240060000	27.67	57.491	59.186	113.957	111.598	101.265	91.077	89.009	89.966	81.940	72.966	94.068	101.171	88.812	83.222	83.726	82.496	60.460	51.155	48.677	102.863	102.862	85.137	81.214	98.051	120.983	109.573	93.068	131.085	107.077	129.410	75.836	53.553	50.592	56.134	70.804
